"Artist Name";"Net Revenue"
"SWA EMPIRE";4375.478743634296734
6wounds;2891.056277195062648
OMORIKUN;2035.682854760668988
VADIX;1672.841236752239183
gwenn;1125.591245918542199
cawabang;851.855194168041294
"Ecsta, SEMPAI";603.897186487914382
"athysue, may";564.181028319331062
"PSYCHOKID, Dacdplays";535.900944154056901
"Schizophrenic, PSYCHOKID";496.653316350636885
"OMORIKUN, feeble";410.406178713746158
"cawabang, gwenn";394.506167974858954
"Goth Angel";386.638897589896828
JOLLYMATE;360.489224322787038
"kweetee, athysue";339.797619260668114
SEMPAI;325.706049374125826
PSYCHOKID;311.743322123908058
"Yukisoru, athysue";302.030439360839978
whited0lly.exe;267.574438681680988
"SEMPAI, Ecsta";245.683875447714001
ИНФИ;203.218468854696965
глеб;200.761869245135983
Mandree;185.853376846334982
"GlookiPail, Мирби";159.240560396665074
"wheremycurly, hayase";141.350244308750973
ЯросL#ve;141.130414811353035
"SWA EMPIRE, флорá";138.173711125094059
on1t;135.113752798981068
"Ecsta, SEMPAI, Wyzzi";119.940679090687013
"on1t, t1de";116.725091500130020
"DRUGPY, oxidative";108.201617328056983
"tomoe may cry";106.261402409270048
DELFIKSTAF;104.989363659277018
SXNDERMXDE;98.603703666445028
XFOURSE;94.977801848853019
"Hishinar, SpeeKi";89.180512663320002
"syndrome, kaourtney";84.315744236357006
Hishinar;83.830773962570987
Yuppe;77.704725911239990
"on1t, t1de, setinai";73.363520447381021
Nanami;59.685257075884998
s6yxt1boyyy;57.373406642474002
колпак;55.302017926812006
"Hustle Kali";47.723382427490002
"DELFIKSTAF, UMSY";47.410398867197991
"Concolor Area";46.281233780451991
"Ecsta, legrinn";45.891786972883999
"лил чича, иса, ИНФИ";45.366920308865012
"экстра!, щкёрт";45.355687802734010
"виесван, YELLOW.Eyes";42.222991508971994
"VIRGIN 4EVER, Kinnashi";40.578177794896988
"nipa regret, kannoe, onokami";37.464656907955998
oukoo;37.252016220306011
слипи;36.633730248800006
"rockluv, lil fruity";36.358468206622995
athysue;33.203988667735004
babybonov;31.533480971130995
"senCA, nt4lone, zeromandia";30.693866651985001
"DELFIKSTAF, dekma";29.566720882030005
"romanastasi, mmmyth";26.888518268854007
Zerix;25.839396747666999
ARTEX;25.699192614252997
"CBmainer, Paskeka";25.239781868953994
maryy;24.935926405819995
"no life";23.898948660740999
LALLLEK;23.744515046317989
"bio, zeromandia, tarab";22.034600833243999
"лил чича";21.205056706206999
EmDzZzIk;20.938371506597004
"LALLLEK, never die";20.652106422659003
фэтби;19.934470993594001
"CBmainer, Paskeka, sKer1T";19.588953454448987
"Daddy Rozen";18.549980042087007
02code;18.272860854782007
"Clxudboy, .youngfox";16.798034385521998
"maryy, athysue, w0rsty";16.594935963420003
XAGAL;16.413338591676002
"Devil May Cry";15.906928335369999
"Paskeka, Obscurity";15.582155134991998
BULAT;13.857513878144005
nxrthwest;13.468247589444999
"YELLOW.Eyes, whited0lly.exe";12.656888587400001
"preziklil, Paskeka, CBmainer";12.334145864304000
"ILUV, Yaggi";11.908581862156002
DELFAUX;11.517204702916004
"лил чича, тонси, ИНФИ, тенда";10.972952615647998
podesne;10.766862061983000
тонси;10.272108522861998
"athysue, kweetee";9.807834689971999
"maryy, Yukisoru, di4umi";9.774213104651002
STARLEAN;9.544076826996998
BDT;9.439145507949998
whoisnewell;9.006012977504996
"portxlpng, deadrose$";8.740490113608001
ILUV;8.242000583383000
kittykeylon;8.052127095178001
Clxudboy;7.671549850023000
Paskeka;7.388695492526001
romanastasi;7.198492523474000
"Yuppe, Clout Chazer, Xtaozii, Воздух";6.986939259521000
"kannoe, nipa regret, on1t";6.893451712760000
"maryy, oukoo";6.873071955123001
wwhouu;6.806410349467000
"лил чича, тонси";6.732279542662999
тенда;6.681447513700999
CBmainer;6.282488140507001
"STARLEAN, щкёрт";6.118187685730001
"Немое Солнце";6.104949588573001
"DELFIKSTAF, OKTAWA";5.892371369489999
onq;5.888170233201000
"athysue, w0rsty";5.560459235768000
"nipa regret, kannoe";5.530727078512000
DUNKE;5.222134325094999
"LIXY, ENGY";5.212527446291999
"maryy, di4umi";5.098937344193001
GODZHATOV;4.900712191129000
DE$TROFIK;4.717885472238001
D.Rayd;4.695838460075000
asiminatsuki;4.494095462155999
Yatokora;4.454793602716000
"Слимак, Diabllic, hpbloo";4.370793702013000
KIDRONIN;4.264470163452000
"on1t, fumiko!";4.220934026919000
"DELFIKSTAF, MXFFXN";4.183480987187000
"Flicher, smart punk";4.102619507946000
виесван;4.094127289269000
preziklil;4.067687380756999
"sunschn, warsy!";4.033161014199001
"PUL$AR!, on1t";3.977188452723000
minayo;3.972515828523000
"лил чича, тенда";3.655862662992000
Guess;3.608148807888000
"SXNDERMXDE, on1t";3.557842930052000
Минайо;3.537768915400001
hayase;3.531710710128000
hydra;3.515260343476000
"LALLLEK, нольдва";3.295450160525999
"on1t, Nanami";3.263005578479000
"unsync, Astaroth";3.138876851089001
"лил чича, ИНФИ";2.816576036939000
GUESS;2.643970718843000
"athysue, tarab";2.562461471403000
oyrhh;2.528619123875000
SOBERBO1;2.526318339826000
qiw1;2.375284057323000
sqwezbaby!;2.342183079105000
"athysue, maryy";2.330662700568000
"GODZHATOV, Sunlimoon";2.303994752051000
ukrxp;2.255323506400000
legrinn;2.237687389999000
"Scruffy Devil, shudloger";2.045328273762000
"BULAT, MC Politach";2.012001539144000
"nipa regret";1.999267109710000
"kiddxguarden, QWY1NX";1.909482132406000
"SXNDERMXDE, Enument";1.886196794311000
"GODZHATOV, D.Rayd";1.739561276340000
qurial;1.719878408650000
BLIXOT;1.582897551396000
qqdie;1.555717155947000
"BULAT, DOLLARDOLLY";1.420332775229000
disa;1.337478902834000
oktawa;1.189139187210000
quell;1.147622459467000
shameless;1.136875351281000
"LiLEmpty, EeAaZzYy";1.034860723529000
кортнии;1.034860449528000
"LALLLEK, .youngfox";0.970415973662000
"VIRGIN 4EVER";0.946530086942000
дисторшн;0.868143828633000
"LALLLEK, taida.dmg";0.855079286193000
PHEONSHY;0.821057650671000
"BULAT, LYAX";0.805272953295000
"SEMPAI, Wyzzi";0.795484239630000
"Minayo, Vano Noir";0.738811046218000
"фэтби, YOUNG KIT";0.696591776548000
yungxclub!;0.686935568801000
kimey;0.635884126070000
"КВЭЛ, венди";0.578568132534000
"PLUGG&SAD, клайд";0.574314801877000
венди;0.541761903664000
"SXNDERMXDE, unnic0rn";0.474308775813000
"PUL$AR!, E$Kiev";0.433105639767000
"МОЛОДОЙ ПАКЕТ";0.419093994181000
soyya;0.395514980303000
"тенда, kweetee";0.379495983844000
LiLEmpty;0.368138000072000
hirukv;0.350050320966000
ambientears;0.329297864073000
"evacry, 3umph";0.322249058844000
Mauve!;0.306212755895000
YELLOW.Eyes;0.235736638902000
Тiшайший;0.180078945601000
щкёрт;0.112724080006000
"maryy, тенда, kweetee";0.111966391193000
"SXNDERMXDE, TW1XX";0.111465839007000
ЯросLove;0.081384846626000
stupidaxou;0.071400000129000
YANKI;0.030639309893000
kiddxguarden;0.008830916470000
"тёма дарки";-785.123564001647082
